Entity,Code,Year,Solar (TWh growth – sub method),Coal (TWh growth – sub method),Gas (TWh growth – sub method),Other renewables (TWh growth – sub method),Nuclear (TWh growth – sub method),Hydro (TWh growth – sub method),Wind (TWh growth – sub method),Oil (TWh growth – sub method)
Slovenia,SVN,1993,0,-0.815,-0.049,0,-0.042,-1.078,0,3.83
Slovenia,SVN,1994,0,-1.137,0.633,0,1.814,1.011,0,1.867
Slovenia,SVN,1995,0,0.577,0.851,0,0.472,-0.408,0,2.072
Slovenia,SVN,1996,0,-1.236,0.138,0,-0.603,1.156,0,4.145
Slovenia,SVN,1997,0,1.608,0.551,0,1.269,-1.603,0,0.024
Slovenia,SVN,1998,0,0.208,0.227,0,0,0.997,0,-1.273
Slovenia,SVN,1999,0,-1.415,0.417,0.086,-0.897,0.803,0,0.133
Slovenia,SVN,2000,0,0.593,-0.331,0.108,0.181,0.264,0,-1.553
Slovenia,SVN,2001,0,0.951,0.284,0.004,1.283,-0.174,0,1.201
Slovenia,SVN,2002,0,1.495,-0.35,0.081,0.649,-1.392,0,-0.84
Slovenia,SVN,2003,0,-0.932,1.013,0.053,-0.972,-1.028,0,0.38
Slovenia,SVN,2004,0,0.289,-0.094,-0.005,0.592,3.029,0,0.947
Slovenia,SVN,2005,0,0.061,0.334,-0.032,1.05,-1.776,0,0.465
Slovenia,SVN,2006,0,0.348,-0.327,-0.031,-0.998,0.289,0,1.442
Slovenia,SVN,2007,0,0.297,0.177,0.012,0.298,-0.923,0,-0.409
Slovenia,SVN,2008,0.003,-0.668,-0.421,0.492,1.432,1.931,0,5.021
Slovenia,SVN,2009,0.008,-1.261,-0.549,-0.262,-1.503,1.763,0,-5.427
Slovenia,SVN,2010,0.023,0.331,0.363,0.07,-0.306,-0.59,0,0.116
Slovenia,SVN,2011,0.137,0.23,-1.447,0.077,1.356,-2.549,0,-0.118
Slovenia,SVN,2012,0.249,-0.855,-0.327,0.035,-1.867,0.812,0,-0.644
Slovenia,SVN,2013,0.131,-0.547,-0.147,-0.02,-0.67,1.808,0.01,-1.646
Slovenia,SVN,2014,0.104,-3.272,-0.826,-0.009,2.642,3.652,0,-0.316
Slovenia,SVN,2015,0.039,0.13,0.444,0.016,-1.923,-5.87,0.005,-0.423
Slovenia,SVN,2016,-0.022,0.853,0.466,0.036,0.084,1.691,0,2.046
Slovenia,SVN,2017,0.038,-0.041,0.431,0.023,1.341,-1.653,-0.001,0.721
Slovenia,SVN,2018,-0.076,-0.362,-0.091,-0.047,-1.357,2.021,0.001,0.896
Slovenia,SVN,2019,0.03,-0.871,0.037,0.005,0.058,-0.811,0,-2.043
South Africa,ZAF,1966,0,-3.629,0,0,0,-0.003,0,5.832
South Africa,ZAF,1967,0,8.176,0,0,0,-0.028,0,6.58
South Africa,ZAF,1968,0,13.619,0,0,0,-0.006,0,6.94
South Africa,ZAF,1969,0,3.001,0,0,0,-0.008,0,8.615
South Africa,ZAF,1970,0,10.176,0,0,0,0.011,0,7.975
South Africa,ZAF,1971,0,22.072,0.615,0,0,0.242,0,9.605
South Africa,ZAF,1972,0,2.409,0.302,0,0,2.006,0,10.157
South Africa,ZAF,1973,0,22.346,0.076,0,0,0.419,0,12.707
South Africa,ZAF,1974,0,17.355,0.172,0,0,0.408,0,-3.472
South Africa,ZAF,1975,0,25.725,0.367,0,0,-0.033,0,8.257
South Africa,ZAF,1976,0,20.378,0.015,0,0,2.1,0,1.565
South Africa,ZAF,1977,0,15.404,-0.065,0,0,0.189,0,-1.382
South Africa,ZAF,1978,0,-12.761,0.038,0,0,-0.103,0,7.079
South Africa,ZAF,1979,0,28.716,0.359,0,0,-2.119,0,-7.728
South Africa,ZAF,1980,0,36.985,0.248,0,0,-0.422,0,3.982
South Africa,ZAF,1981,0,92.128,-0.063,0,0,1.836,0,12.042
South Africa,ZAF,1982,0,56.727,-0.185,0,0,-1.769,0,2.131
South Africa,ZAF,1983,0,10.114,0.25,0,0,-1.169,0,1.618
South Africa,ZAF,1984,0,50.835,0.007,0,10.903,-0.097,0,14.193
South Africa,ZAF,1985,0,19.037,-0.119,0,3.861,0.178,0,-4.017
South Africa,ZAF,1986,0,10.092,0.099,0,9.689,2.775,0,-5.897
South Africa,ZAF,1987,0,12.907,-0.158,0,-7.322,-0.017,0,9.498
South Africa,ZAF,1988,0,61.354,0.017,0,12.017,4.292,0,17.634
South Africa,ZAF,1989,0,-54.049,0.038,0,1.683,-1.119,0,6.904
South Africa,ZAF,1990,0,27.019,17.697,0,-7.361,-4.858,0,1.923
South Africa,ZAF,1991,0,-14.145,0.231,0,1.931,2.694,0,1.653
South Africa,ZAF,1992,0,2.932,-1.528,0,0.4,-3.411,0,6.609
South Africa,ZAF,1993,0,3.045,-5.674,0,-5.647,-1.683,0,8.409
South Africa,ZAF,1994,0,24.901,0.016,0,6.783,2.578,0,9.461
South Africa,ZAF,1995,0,30.083,0.157,0,4.456,-1.514,0,15.027
South Africa,ZAF,1996,0,12.794,-1.667,0.167,1.317,2.194,0,7.247
South Africa,ZAF,1997,0,18.579,-1.93,0.239,2.422,2.147,0,4.096
South Africa,ZAF,1998,0,-25.859,-0.017,0.236,2.65,-1.381,0,3.85
South Africa,ZAF,1999,0,37.471,2.566,-0.094,-2.122,-2.414,0,3.528
South Africa,ZAF,2000,0.026,-4.734,-0.468,0.779,0.481,1.042,0,4.318
South Africa,ZAF,2001,0.004,3.103,2.433,-0.159,-6.557,1.691,0,5.684
South Africa,ZAF,2002,0.004,-42.471,0.091,0.094,3.297,0.965,0,6.96
South Africa,ZAF,2003,0.004,92.368,-3.394,-0.149,1.62,-3.46,0.016,9.981
South Africa,ZAF,2004,0.004,88.141,13.818,-0.079,1.681,0.317,0.016,10.769
South Africa,ZAF,2005,0.004,-78.843,10.212,0.11,-5.804,1.011,0,1.105
South Africa,ZAF,2006,0.004,17.264,2.892,-0.06,-3.577,4.162,0,5.365
South Africa,ZAF,2007,0.004,25.45,0.462,0.06,3.262,-0.133,0,6.375
South Africa,ZAF,2008,0.004,112.525,1.311,0.06,4.267,-4.287,0.024,-15.748
South Africa,ZAF,2009,0.004,5.667,-5.979,-0.026,-0.731,0.483,0.023,-3.48
South Africa,ZAF,2010,0.011,-11.633,7.981,-0.145,1.674,-0.828,0.01,17.502
South Africa,ZAF,2011,0.136,-26.88,1.589,0.034,-1.835,4.96,0.007,1.515
South Africa,ZAF,2012,0.013,-25.272,0.764,0.021,-0.034,-5.316,-0.001,7.93
South Africa,ZAF,2013,0.401,0.228,-3.03,0.135,2.714,0.203,-0.001,4.468
South Africa,ZAF,2014,2.236,13.108,2.439,-0.123,-1.01,1.742,2.618,-2.992
South Africa,ZAF,2015,4.096,-64.232,0.204,-0.042,-4.148,-2.542,5.056,13.086
South Africa,ZAF,2016,1.279,73.566,2.303,0.043,9.062,-0.266,2.816,-18.912
South Africa,ZAF,2017,2.457,-17.109,-1.148,0.108,-0.628,0.417,4.083,-1.076
South Africa,ZAF,2018,1.575,11.638,0.387,-0.141,-11.827,-0.289,2.461,8.008
South Africa,ZAF,2019,0.761,14.808,-1.899,-0.004,7.633,-0.007,0.052,7.906
South Korea,KOR,1966,0,7.618,0,0,0,0.764,0,7.521
South Korea,KOR,1967,0,-3.001,0,0,0,-0.089,0,16.612
South Korea,KOR,1968,0,-3.477,0,0,0,-0.066,0,18.783
South Korea,KOR,1969,0,2.605,0,0,0,1.386,0,20.731
South Korea,KOR,1970,0,4.129,0,0,0,-0.577,0,19.62
South Korea,KOR,1971,0,0.698,0,0,0,0.276,0,12.733
South Korea,KOR,1972,0,1.651,0,0,0,0.134,0,4.869
South Korea,KOR,1973,0,17.945,0,0,0,-0.232,0,26.787
South Korea,KOR,1974,0,2.687,0,0,0,1.726,0,4.708
South Korea,KOR,1975,0,5.001,0,0,0,-0.62,0,19.686
South Korea,KOR,1976,0,10.723,0,0,0,0.294,0,20.498
South Korea,KOR,1977,0,9.548,0,0,0.199,-1.1,0,35.938
South Korea,KOR,1978,0,1.349,0,0,6.258,1.152,0,32.088
South Korea,KOR,1979,0,22.667,0,0,2.299,1.357,0,31.986
South Korea,KOR,1980,0,15.77,0,0,0.903,-1.044,0,-2.702
South Korea,KOR,1981,0,23.786,0,0,-1.611,1.881,0,-2.836
South Korea,KOR,1982,0,2.4,0,0,2.445,-2.451,0,-2.078
South Korea,KOR,1983,0,12.101,0,0,14.41,1.608,0,12.963
South Korea,KOR,1984,0,39.262,0,0,7.853,-0.822,0,1.259
South Korea,KOR,1985,0,25.064,0,0,13.759,3.297,0,16.829
South Korea,KOR,1986,0,15.211,0.712,0,32.127,-0.209,0,27.781
South Korea,KOR,1987,0,3.593,21.311,0,30.564,2.376,0,17.363
South Korea,KOR,1988,0,17.717,6.427,0,2.185,-5.495,0,69.69
South Korea,KOR,1989,0,-7.79,-0.921,0,20.179,2.713,0,60.728
South Korea,KOR,1990,0.003,-4.283,4.114,0,15.337,4.778,0,103.229
South Korea,KOR,1991,0,0.954,5.014,0,9.512,-3.328,0,127.437
South Korea,KOR,1992,0.003,-7.397,11.294,0,0.61,-1.079,0,150.728
South Korea,KOR,1993,0,26.397,11.953,0,4.467,3.139,0.003,85.107
South Korea,KOR,1994,0,8.055,19.835,0,1.424,-5.226,0,93.113
South Korea,KOR,1995,0,11.199,16.695,0.694,23.271,1.15,-0.003,95.28
South Korea,KOR,1996,0.003,53.552,30.972,0.425,19.155,-0.932,0,79.906
South Korea,KOR,1997,0,32.883,27.424,-0.903,8.781,1.082,0.003,121.294
South Korea,KOR,1998,0.003,13.063,-9.986,-0.056,35.009,4.071,0.003,-205.641
South Korea,KOR,1999,0.002,24.499,31.516,0.081,37.152,-0.334,0.011,82.109
South Korea,KOR,2000,0.002,55.446,21.719,-0.022,16.389,-0.416,0.03,36.491
South Korea,KOR,2001,0.002,32.559,19.5,0.023,6.781,-4.708,-0.012,-2.61
South Korea,KOR,2002,0.002,39.618,24.2,0.248,17.114,2.434,0.006,23.614
South Korea,KOR,2003,0.002,23.187,11.461,0.021,26.7,4.446,0.027,12.314
South Korea,KOR,2004,0.006,24.121,43.511,0.281,0.573,-1.64,0.061,-21.012
South Korea,KOR,2005,0.012,18.574,20.976,-0.094,40.971,-1.789,0.221,2.298
South Korea,KOR,2006,0.044,21.596,17.26,-0.054,2.782,-0.612,0.289,0.742
South Korea,KOR,2007,0.131,34.897,27.832,0.375,-17.922,0.378,0.486,37.915
South Korea,KOR,2008,0.622,74.976,10.551,0.882,18.815,-1.542,0.156,-53.504
South Korea,KOR,2009,0.718,29.019,-18.453,1.382,-10.821,-0.724,0.599,9.387
South Korea,KOR,2010,0.563,99.399,95.25,0.862,-0.228,2.22,0.357,16.251
South Korea,KOR,2011,0.483,76.125,34.29,0.468,13.516,2.314,0.208,11.071
South Korea,KOR,2012,0.447,-35.483,40.832,0.58,-13.753,-1.581,0.075,38.018
South Korea,KOR,2013,1.39,10.555,24.472,1.857,-31.886,0.648,0.653,-5.275
South Korea,KOR,2014,2.508,33.2,-49.718,2.372,42.72,-3.979,-0.062,-3.057
South Korea,KOR,2015,3.769,11.659,-43.543,4.041,18.769,-1.574,0.502,70.509
South Korea,KOR,2016,2.887,-45.379,19.94,3.652,-9.426,1.73,0.855,106.602
South Korea,KOR,2017,5.144,54.398,21.127,5.948,-36.317,-0.136,1.293,7.481
South Korea,KOR,2018,5.267,5.514,80.476,5.949,-39.256,1.327,0.666,-13.768
South Korea,KOR,2019,6.032,-53.217,-18.37,6.509,29.692,-1.476,0.402,-19.343
Spain,ESP,1966,0,-8.443,0,0,0,21.031,0,30.452
Spain,ESP,1967,0,1.698,0,0,0,-12.781,0,41.647
Spain,ESP,1968,0,1.303,0,0,0.231,4.808,0,14.821
Spain,ESP,1969,0,0.675,0.939,0,2.072,17.264,0,35.081
Spain,ESP,1970,0,6.094,-0.192,0.131,0.261,-7.864,0,40.605
Spain,ESP,1971,0,0.57,3.232,0.014,4.444,11.233,0,33.124
Spain,ESP,1972,0,2.768,7.737,0.025,6.189,10.147,0,19.705
Spain,ESP,1973,0,-2.419,-0.404,-0.014,4.983,-18.214,0,76.813
Spain,ESP,1974,0,-3.617,2.828,-0.014,1.883,4.6,0,22.114
Spain,ESP,1975,0,12.06,0.444,0.172,0.892,-12.508,0,19.163
Spain,ESP,1976,0,-3.884,2.161,0.206,0.031,-14.258,0,67.124
Spain,ESP,1977,0,8.513,-0.646,0.339,-2.864,51.933,0,-31.673
Spain,ESP,1978,0,-18.015,0.394,0.019,3.125,1.731,0,15.934
Spain,ESP,1979,0,15.387,-0.556,-0.181,-2.636,17.072,0,33.018
Spain,ESP,1980,0,19.166,4.495,0.308,-4.206,-46.797,0,34.362
Spain,ESP,1981,0,33.797,2.899,0.172,12.172,-21.133,0,-19.629
Spain,ESP,1982,0,19.306,2.111,0.175,-2.214,12.192,0,-32.752
Spain,ESP,1983,0,10.246,2.071,0.203,5.25,1.989,0,1.144
Spain,ESP,1984,0,3.466,-4.949,-0.028,34.514,12.325,0,-32.25
Spain,ESP,1985,0,-2.396,1.374,0.169,13.772,-0.547,0,-19.96
Spain,ESP,1986,0,7.583,4.262,-0.203,26.15,-13.314,0,-4.742
Spain,ESP,1987,0,-6.466,1.99,0.069,10.592,2.469,0,25.618
Spain,ESP,1988,0,-27.819,8.767,0.306,25.542,21.842,0,12.783
Spain,ESP,1989,0.017,42.45,11.049,-0.264,15.722,-44.158,0.036,26.299
Spain,ESP,1990,0,-1.396,7.789,-0.1,-5.161,16.847,0.003,-18.434
Spain,ESP,1991,0.003,9.153,7.316,0,3.639,5.189,0.003,12.038
Spain,ESP,1992,0.003,4.71,2.969,0.092,0.567,-23.228,0.244,69.212
Spain,ESP,1993,0.003,-23.842,-1.3,0.011,0.772,15.158,0.036,-29.242
Spain,ESP,1994,0.003,6.606,6.438,0.167,-2.075,10.564,0.164,30.417
Spain,ESP,1995,0.014,0.523,16.575,1.033,0.394,-14.078,0.264,40.976
Spain,ESP,1996,-0.008,-34.192,10.696,0.2,2.431,46.361,0.261,19.66
Spain,ESP,1997,0.003,27.075,30.999,1.056,-2.867,-13.956,1.05,26.997
Spain,ESP,1998,0.006,-10.048,3.498,0.189,10.264,-2.147,1.694,59.813
Spain,ESP,1999,0.006,24.563,19.538,0.536,-0.392,-30.95,3.867,27.296
Spain,ESP,2000,0.003,15.503,22.439,-0.642,9.317,18.631,5.508,10.297
Spain,ESP,2001,0.016,-20.562,13.73,0.354,3.023,31.085,5.523,36.255
Spain,ESP,2002,0.016,28.261,27.34,2.59,-3.032,-50.379,6.962,6.543
Spain,ESP,2003,0.029,-17.084,30.253,1.584,-4.216,49.001,7.281,26.067
Spain,ESP,2004,0.04,10.7,44.404,0.34,3.612,-26.099,9.603,25.949
Spain,ESP,2005,-0.041,-6.234,54.329,-1.878,-17.409,-37.674,14.461,8.909
Spain,ESP,2006,0.208,-30.296,16.154,0.279,5.942,21.129,5.311,7.316
Spain,ESP,2007,1.031,24.76,6.399,0.283,-14.347,3.135,10.956,4.018
Spain,ESP,2008,5.456,-75.979,36.349,0.895,9.307,-10.219,13.742,-32.411
Spain,ESP,2009,9.111,-47.381,-42.845,0.35,-17.257,7.016,12.425,-58.092
Spain,ESP,2010,2.503,-29.459,-1.113,1.011,22.231,40.468,14.498,-22.21
Spain,ESP,2011,4.073,68.547,-25.504,1.746,-11.041,-30.314,-3.93,-38.641
Spain,ESP,2012,8.329,31.413,-4.205,1.119,8.724,-26.369,17.464,-50.207
Spain,ESP,2013,2.746,-47.625,-28.975,0.725,-13.086,41.246,15.349,-44.987
Spain,ESP,2014,1.23,2.814,-28.042,0.234,0.59,5.516,-10.409,-2.45
Spain,ESP,2015,0.262,23.811,10.139,0.804,-0.868,-28.494,-7.588,22.135
Spain,ESP,2016,-0.752,-37.103,5.834,-0.336,2.447,20.314,-1.772,24.412
Spain,ESP,2017,1.496,34.34,25.896,0.95,-2.134,-45.338,-0.191,3.305
Spain,ESP,2018,-4.128,-27.87,-2.419,0.154,-6.68,40.312,3.678,14.667
Spain,ESP,2019,5.573,-70.191,46.418,0.198,6.108,-23.986,12.594,0.646
Sri Lanka,LKA,1966,0,0,0,0,0,0.094,0,0.132
Sri Lanka,LKA,1967,0,0,0,0,0,0.031,0,0.136
Sri Lanka,LKA,1968,0,0,0,0,0,0.178,0,0.138
Sri Lanka,LKA,1969,0,0,0,0,0,0.208,0,0.136
Sri Lanka,LKA,1970,0,0,0,0,0,0.531,0,6.025
Sri Lanka,LKA,1971,0,0,0,0,0,0.237,0,-1.076
Sri Lanka,LKA,1972,0,0,0,0,0,0.06,0,1.015
Sri Lanka,LKA,1973,0,0,0,0,0,-0.421,0,0.504
Sri Lanka,LKA,1974,0,0,0,0,0,0.839,0,-2.597
Sri Lanka,LKA,1975,0,0,0,0,0,0.219,0,-0.32
Sri Lanka,LKA,1976,0,0.005,0,0,0,0.091,0,-0.074
Sri Lanka,LKA,1977,0,0.024,0,0,0,0.29,0,0.581
Sri Lanka,LKA,1978,0,0.001,0,0,0,0.423,0,1.646
Sri Lanka,LKA,1979,0,-0.011,0,0,0,0.265,0,0.338
Sri Lanka,LKA,1980,0,0.007,0,0,0,0.051,0,0.098
Sri Lanka,LKA,1981,0,-0.012,0,0,0,0.254,0,2.195
Sri Lanka,LKA,1982,0,0.192,0,0,0,0.1,0,1.735
Sri Lanka,LKA,1983,0,0.001,0,0,0,-1.084,0,1.515
Sri Lanka,LKA,1984,0,0.196,0,0,0,2.431,0,-2.775
Sri Lanka,LKA,1985,0,-0.16,0,0,0,0.843,0,-1.205
Sri Lanka,LKA,1986,0,-0.153,0,0,0,0.693,0,0.033
Sri Lanka,LKA,1987,0,-0.006,0,0,0,-1.3,0,1.907
Sri Lanka,LKA,1988,0,-0.042,0,0,0,1.166,0,-0.452
Sri Lanka,LKA,1989,0,-0.039,0,0,0,0.568,0,-0.71
Sri Lanka,LKA,1990,0,-0.005,0,0,0,0.954,0,0.984
Sri Lanka,LKA,1991,0,0.007,0,0,0,-0.078,0,0.862
Sri Lanka,LKA,1992,0,0,0,0,0,-0.602,0,2.869
Sri Lanka,LKA,1993,0,-0.002,0,0,0,2.489,0,-0.534
Sri Lanka,LKA,1994,0,0,0,0,0,0.814,0,2.003
Sri Lanka,LKA,1995,0,0.008,0,0,0,1.181,0,1.71
Sri Lanka,LKA,1996,0,-0.009,0,0,0,-3.506,0,4.922
Sri Lanka,LKA,1997,0,-0.002,0,0,0,0.543,0,2.3
Sri Lanka,LKA,1998,0,0.002,0,0,0,1.299,0,2.006
Sri Lanka,LKA,1999,0,-0.002,0,0,0,0.729,0.01,2.879
Sri Lanka,LKA,2000,0.001,0.004,0,0,0,-2.704,0,6.346
Sri Lanka,LKA,2001,0.001,-0.003,0,0,0,-0.296,0,-0.698
Sri Lanka,LKA,2002,0.002,0.126,0,0,0,-1.2,0,2.151
Sri Lanka,LKA,2003,0.002,0.568,0,0,0,1.637,-0.001,-0.259
Sri Lanka,LKA,2004,0.003,-0.512,0,0,0,-1.004,-0.002,-0.216
Sri Lanka,LKA,2005,0.003,0.497,0,0.006,0,1.268,-0.001,5.649
Sri Lanka,LKA,2006,0.002,-0.17,0,-0.001,0,3.106,0,2.058
Sri Lanka,LKA,2007,0.001,-0.012,0,-0.002,0,-1.902,0,3.056
Sri Lanka,LKA,2008,0.001,0.173,0,0.012,0,0.417,0.002,-4.791
Sri Lanka,LKA,2009,0.001,0.012,0,0.045,0,-0.718,0.001,2.562
Sri Lanka,LKA,2010,0.001,0.015,0,0.024,0,4.509,0.129,-0.308
Sri Lanka,LKA,2011,0.004,2.782,0,-0.003,0,-2.838,0.099,3.269
Sri Lanka,LKA,2012,0.003,1.825,0,-0.025,0,-3.373,0.141,1.959
Sri Lanka,LKA,2013,0.011,0.276,0,0.01,0,9.235,0.222,-8.6
Sri Lanka,LKA,2014,0.035,5.128,0,0.038,0,-6.129,0.093,-6.205
Sri Lanka,LKA,2015,0.052,3.702,0,0.04,0,3.516,0.175,9.75
Sri Lanka,LKA,2016,0.085,0.845,0,0.036,0,-4.486,-0.001,8.808
Sri Lanka,LKA,2017,0.353,0.547,0,-0.013,0,-0.563,0.05,4.342
Sri Lanka,LKA,2018,0.227,0.076,0,0.045,0,5.889,-0.005,-0.151
Sri Lanka,LKA,2019,0.125,1.634,0,0.013,0,-4.015,-0.003,4.975
Sweden,SWE,1966,0,-1.187,0,0,0.075,-2.594,0,29.953
Sweden,SWE,1967,0,-0.184,0,0,0.014,10.547,0,-0.876
Sweden,SWE,1968,0,-3.102,0,0,-0.075,-1.519,0,33.93
Sweden,SWE,1969,0,-0.505,0,0,0.106,-19.192,0,20.805
Sweden,SWE,1970,0,1.181,0,0.361,-0.014,-0.947,0,27.627
Sweden,SWE,1971,0,-2.181,0,0.083,0.094,29.231,0,-20.335
Sweden,SWE,1972,0,-2.81,0,0.183,3.819,4.808,0,8.478
Sweden,SWE,1973,0,1.806,0,0.481,1.794,17.025,0,7.307
Sweden,SWE,1974,0,1.985,0,-0.117,-0.158,-7.242,0,-34.273
Sweden,SWE,1975,0,1.645,0,-0.131,27.542,1.064,0,-0.834
Sweden,SWE,1976,0,-0.904,0,0.122,11.178,-7.822,0,30.942
Sweden,SWE,1977,0,-4.469,0,0.017,10.889,-3.714,0,-10.096
Sweden,SWE,1978,0,0.444,0,-0.233,10.744,11.828,0,66.731
Sweden,SWE,1979,0,3.201,0,0.197,-7.617,9.242,0,29.785
Sweden,SWE,1980,0,-0.978,0,1.039,15.136,-6.144,0,-49.22
Sweden,SWE,1981,0,-2.784,0,0.556,31.086,2.458,0,-37.168
Sweden,SWE,1982,0,1.924,0,0.225,3.794,-13.019,0,-23.39
Sweden,SWE,1983,0,4.813,0,1.236,5.442,23.55,0.008,-40.409
Sweden,SWE,1984,0,4.924,0,1.114,27.561,12.117,0.006,-11.952
Sweden,SWE,1985,0,5.094,0.714,-0.128,21.208,8.561,0.003,18.516
Sweden,SWE,1986,0,2.238,1.166,0.494,31.639,-27.931,0,18.723
Sweden,SWE,1987,0,-0.456,0.631,-0.058,-7.128,30.336,0,-40.157
Sweden,SWE,1988,0,-0.652,0.718,0.228,5.664,-5.475,-0.003,-16.225
Sweden,SWE,1989,0,-1.999,1.089,0.411,-10.614,5.186,0,-9.345
Sweden,SWE,1990,0,1.484,1.692,-0.683,7.172,2.108,0.003,-0.479
Sweden,SWE,1991,0,-0.821,0.411,-0.231,23.822,-25.722,0.019,-31.517
Sweden,SWE,1992,0,-2.316,0.826,0.417,-36.714,30.875,0.05,10.467
Sweden,SWE,1993,0.003,0.569,0.662,0.447,-5.969,0.786,0.058,-3.557
Sweden,SWE,1994,0,0.475,-0.057,0.161,32.669,-43.194,0.064,12.02
Sweden,SWE,1995,0,0,0.008,0.347,-8.947,24.997,0.083,-10.569
Sweden,SWE,1996,0,3.478,0.562,-0.656,12.053,-45.433,0.108,14.206
Sweden,SWE,1997,0,-5.216,-0.103,1.819,-12.072,48.1,0.164,-13.453
Sweden,SWE,1998,0,0.207,-0.074,0.019,10.153,15.797,0.292,26.322
Sweden,SWE,1999,0,-1.36,0.018,-0.231,-1.097,-8.478,0.139,-9.057
Sweden,SWE,2000,0,0.365,-0.182,3.892,-44.089,19.147,0.275,-30.495
Sweden,SWE,2001,0.003,2.496,1.036,-0.96,39.791,-0.101,0.061,3.305
Sweden,SWE,2002,0,2.388,0.161,1.024,-12.246,-36.238,0.337,3.03
Sweden,SWE,2003,0,-0.679,-0.026,0.839,-3.093,-36.087,0.183,14.186
Sweden,SWE,2004,0,0.982,-0.04,7.206,26.593,18.15,0.451,-9.036
Sweden,SWE,2005,0,-3.01,-0.435,0.657,-14.726,31.52,0.252,0.418
Sweden,SWE,2006,0,3.335,0.412,2.193,-16.503,-30.777,0.086,1.526
Sweden,SWE,2007,0.003,-2.412,0.294,3.784,-1.14,10.99,1.16,-4.885
Sweden,SWE,2008,0.003,0.009,-0.873,1.16,-9.235,6.389,1.471,-11.188
Sweden,SWE,2009,0.008,-9.72,2.885,2.778,-31.778,-10.524,1.25,-6.678
Sweden,SWE,2010,0.005,8.803,3.973,1.724,13.644,1.513,2.612,-0.675
Sweden,SWE,2011,0.01,-3.429,-3.251,-1.894,6.201,0.67,6.62,-13.171
Sweden,SWE,2012,0.015,-4.073,-1.566,1.514,8.225,29.534,2.704,-2.364
Sweden,SWE,2013,0.041,0.509,-0.415,-2.094,5.202,-46.229,6.743,-2.051
Sweden,SWE,2014,0.03,-1.552,-1.833,-2.094,-5.04,5.172,3.392,-3.363
Sweden,SWE,2015,0.126,-0.017,0.932,0.013,-22.559,28.25,12.565,-3.145
Sweden,SWE,2016,0.114,-0.44,0.653,1.657,16.139,-34.559,-2.228,5.566
Sweden,SWE,2017,0.215,-0.059,-0.373,1.3,5.554,6.448,5.096,-1.185
Sweden,SWE,2018,0.397,0.062,0.553,-0.582,6.13,-8.192,-2.708,-6.818
Sweden,SWE,2019,0.481,0.498,0.324,2.885,-4.415,8.523,7.92,4.132
Switzerland,CHE,1966,0,-2.569,0,0,0,9.504,0,6.089
Switzerland,CHE,1967,0,-1.919,0,0,0,6.477,0,8.364
Switzerland,CHE,1968,0,-0.567,0,0,0,-0.93,0,12.1
Switzerland,CHE,1969,0,-0.933,0.003,0,1.486,-3.528,0,10.75
Switzerland,CHE,1970,0,-1.256,0.383,0,3.419,2.576,0,16.135
Switzerland,CHE,1971,0,-2.464,0.545,0,-1.042,-0.358,0,9.162
Switzerland,CHE,1972,0,-0.789,0.25,0,6.803,-13.36,0,4.01
Switzerland,CHE,1973,0,-0.219,0.418,0,6.861,6.535,0,12.426
Switzerland,CHE,1974,0,-0.567,1.768,0,2.103,3.511,0,-19.309
Switzerland,CHE,1975,0,-0.889,2.055,0,1.928,12.182,0,-5.991
Switzerland,CHE,1976,0,-0.161,0.238,0,0.494,-17.74,0,5.9
Switzerland,CHE,1977,0,0.417,0.803,0,0.486,25.112,0,0.809
Switzerland,CHE,1978,0,-0.292,0.628,0.272,0.781,-9.248,0,3.994
Switzerland,CHE,1979,0,0.089,0.863,0.525,9.472,-5.212,0,-6.683
Switzerland,CHE,1980,0,1.258,1.12,-0.317,7.058,10.454,0,-0.116
Switzerland,CHE,1981,0,1.903,0.715,0.731,2.733,4.659,0,-11.496
Switzerland,CHE,1982,0,-0.678,0.55,-0.128,-0.547,2.351,0,-7.867
Switzerland,CHE,1983,0,-0.661,1.028,0.017,1.603,-2.524,0,12.677
Switzerland,CHE,1984,0,1.292,1.31,-0.075,7.583,-14.358,0,-4.706
Switzerland,CHE,1985,0,0.025,0.595,-0.011,11.003,5.995,0,2.522
Switzerland,CHE,1986,0,-0.817,0.32,0.258,0.064,2.37,0,13.698
Switzerland,CHE,1987,0,-0.35,0.98,0.147,1.164,4.915,0,-9.222
Switzerland,CHE,1988,0,-0.686,0.103,0.006,-0.582,3.112,0,0.435
Switzerland,CHE,1989,0,0.136,1.285,0.044,0.12,-16.723,0,-6.068
Switzerland,CHE,1990,0.003,0,1.123,-0.253,2.208,0.064,0,10.305
Switzerland,CHE,1991,0.003,-0.622,2.093,-0.006,-1.883,6.34,0,2.655
Switzerland,CHE,1992,0.003,-1.081,0.98,0.136,1.365,1.732,0,2.186
Switzerland,CHE,1993,0.003,-0.394,0.99,0.017,-0.269,8.549,0,-10.024
Switzerland,CHE,1994,0.003,0.025,-0.288,0.164,2.792,9.143,0,4.988
Switzerland,CHE,1995,0.003,0.15,2.128,0.067,1.468,-10.836,0,-11.302
Switzerland,CHE,1996,0.003,-0.558,1.895,0.111,0.681,-17.843,0.003,5.124
Switzerland,CHE,1997,0,-0.381,-0.86,0.122,0.737,14.718,0.003,7.702
